ds,yhat,yhat_lower,yhat_upper
2023-08-31,74374.16774219683,35749.75829453035,115178.31681792362
2023-09-30,84899.5767294194,45331.80069496295,115803.99395393979
2023-10-31,82289.69989377625,39229.30441481832,118960.81202384307
2023-11-30,113809.38744795171,76078.4221470124,145230.5778405946
2023-12-31,95816.59275395681,63093.59143277195,132123.20115853602
2024-01-31,89814.75445137842,56095.89482262332,123068.28538974481
2024-02-29,97294.94140522351,57689.63574174165,132687.58928795473
2024-03-31,89860.71495363097,54674.101429241295,128770.3279888026
2024-04-30,96416.53003515783,61993.354841922985,129780.37344983597
2024-05-31,123224.40958467293,92858.80837318105,157151.70701052458
2024-06-30,125526.27656637404,91498.1395085276,165254.75692796914
2024-07-31,114637.02118526347,76206.79465641775,156937.84445159603
