feature,mean_abs_shap
"airport_name_Syracuse, NY: Syracuse Hancock International",0.004065848364143627
airport_CLE,0.003913975500690525
airport_ICT,0.0038291243915887572
airport_BUR,0.0036718554324392813
"airport_name_San Jose, CA: Norman Y. Mineta San Jose International",0.00351656095608761
airport_MCI,0.0034414872822641656
"airport_name_Greer, SC: Greenville-Spartanburg International",0.003348252662213657
airport_BWI,0.0031561485932215497
"airport_name_Arcata/Eureka, CA: California Redwood Coast Humboldt County",0.0031472180351565255
airport_HPN,0.0030970340425628073
carrier_HA,0.003050704828181946
"airport_name_Muskegon, MI: Muskegon County",0.002963947411297563
airport_PSP,0.002784100706776838
"airport_name_Cincinnati, OH: Cincinnati/Northern Kentucky International",0.002643595791123282
"airport_name_Buffalo, NY: Buffalo Niagara International",0.002537480662834049
airport_IAD,0.0025300177484968824
"airport_name_Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",0.002498806246699703
carrier_name_Virgin America,0.002481243535889087
airport_SJC,0.0023975152542448134
"airport_name_Anchorage, AK: Ted Stevens Anchorage International",0.0023340907632886957
"airport_name_Rochester, NY: Greater Rochester International",0.002282747136808809
"airport_name_Fort Myers, FL: Southwest Florida International",0.002246979961862466
"airport_name_Charleston, SC: Charleston AFB/International",0.0021767950007437267
airport_ISP,0.00209498866531821
"airport_name_Duluth, MN: Duluth International",0.00208879408603463
"airport_name_Palm Springs, CA: Palm Springs International",0.0020866134535551637
airport_SFB,0.0020245894134664926
airport_BOI,0.0020190375438667685
airport_BDL,0.0019864325120507427
"airport_name_Jacksonville, FL: Jacksonville International",0.00187326466573554
"airport_name_Grand Rapids, MI: Gerald R. Ford International",0.0018424396029462107
airport_PIT,0.0017981088967518291
airport_BHM,0.0017280913831138269
airport_XNA,0.001483959413537763
"airport_name_Punta Gorda, FL: Punta Gorda Airport",0.0014746016810054002
"airport_name_Pittsburgh, PA: Pittsburgh International",0.001414001364184558
"airport_name_Panama City, FL: Northwest Florida Beaches International",0.0013365572155481509
"airport_name_Omaha, NE: Eppley Airfield",0.001259510145477012
airport_PDX,0.0012245917421895172
airport_GCK,0.0011207636369056557
"airport_name_Kansas City, MO: Kansas City International",0.0010394126212752393
airport_BMI,0.001031201005891965
airport_ROC,0.0009946256108407997
"airport_name_Birmingham, AL: Birmingham-Shuttlesworth International",0.0009704186759689993
"airport_name_Reno, NV: Reno/Tahoe International",0.0009468599182493422
"airport_name_Nashville, TN: Nashville International",0.0009056207667877057
"airport_name_Chattanooga, TN: Lovell Field",0.0008789813313953402
airport_CID,0.0008535810194961369
airport_LBB,0.0008209647332988705
"airport_name_Las Vegas, NV: Harry Reid International",0.0008099120719916999
"airport_name_Binghamton, NY: Greater Binghamton/Edwin A. Link Field",0.0007959403797587621
airport_IND,0.000744098061638881
"airport_name_Tucson, AZ: Tucson International",0.0007390750859014608
"airport_name_Rochester, NY: Frederick Douglass Grtr Rochester International",0.0007044110136014032
airport_LGB,0.0006813641047399437
"airport_name_Hartford, CT: Bradley International",0.0005436992808619776
airport_BTR,0.0005393345261087467
"airport_name_Burlington, VT: Burlington International",0.0005026587235775744
"airport_name_Portland, OR: Portland International",0.0005012387158857157
"airport_name_Memphis, TN: Memphis International",0.0004969760394130358
