Model,RMSE,MAE,R²
Ridge,1.8934220415309617,0.5091289178612761,0.999885714743744
ElasticNet,7.107158761140328,2.6166265923445313,0.9983897719665085
Random_Forest,8.397825080708788,2.107861684099072,0.9977518307759352
Decision_Tree,14.031791239633247,4.1306944085053106,0.9937234415281706
Hist_GB,19.151288360126266,3.1125080685098907,0.9883079317869623
