iter	RMSE
321	1.333253752
322	1.333051518
323	1.332840293
324	1.332747564
325	1.332498468
326	1.332243517
327	1.331915552
328	1.331688385
329	1.3314691
330	1.331254081
331	1.331005893
332	1.33071469
333	1.330425322
334	1.330195759
335	1.329904485
336	1.329664804
337	1.329404768
338	1.329148097
339	1.328998167
340	1.328609202
341	1.328381618
342	1.328238456
343	1.328012634
344	1.327760849
345	1.327639366
346	1.327347548
347	1.327185154
348	1.326893429
349	1.326619026
350	1.32632238
351	1.325952507
352	1.325773015
353	1.325526961
354	1.325346196
355	1.325020499
356	1.324825089
357	1.32470741
358	1.324519081
359	1.324427596
360	1.324098632
361	1.323895905
362	1.323669802
363	1.323393442
364	1.32308741
365	1.322807216
366	1.322581611
367	1.322358549
368	1.322129431
369	1.321805869
370	1.321587517
371	1.321378136
372	1.32115261
373	1.320954055
374	1.320805384
375	1.32054039
376	1.320365614
377	1.320179411
378	1.319989206
379	1.319840517
380	1.319724953
381	1.319576403
382	1.319366199
383	1.319144053
384	1.318967674
385	1.318779862
386	1.318413146
387	1.318115843
388	1.317848379
389	1.317625266
390	1.317480923
391	1.317257491
392	1.317040923
393	1.316803882
394	1.316564961
395	1.316441774
396	1.316232109
397	1.315980119
398	1.315867549
399	1.315597889
400	1.315433478
401	1.315235415
402	1.315046366
403	1.314801812
404	1.314659324
405	1.314549705
406	1.314377384
407	1.314181691
408	1.313980545
409	1.313782674
410	1.31353385
411	1.313319823
412	1.313109643
413	1.312933827
414	1.312704869
415	1.312500232
416	1.312287068
417	1.312052391
418	1.311885582
419	1.31172784
420	1.311539003
421	1.311403924
422	1.311234769
423	1.311044504
424	1.310953299
425	1.310751317
426	1.310614198
427	1.310504282
428	1.310300905
429	1.310159256
430	1.309991808
431	1.309779072
432	1.309572237
433	1.309373064
434	1.309131261
435	1.308791337
436	1.308615994
437	1.30844224
438	1.308286599
439	1.308071548
440	1.307840842
441	1.307664706
442	1.307537868
443	1.307416548
444	1.307251431
445	1.307143003
446	1.306943007
447	1.306829521
448	1.306630724
449	1.306440609
450	1.306300832
451	1.306100887
452	1.305750032
453	1.305651678
454	1.305495622
455	1.305331316
456	1.305084044
457	1.304946323
458	1.30474947
459	1.304601747
460	1.304427147
461	1.304296118
462	1.304099771
463	1.303906145
464	1.303763582
465	1.303515192
466	1.303322617
467	1.30301848
468	1.302878059
469	1.30261715
470	1.302467553
471	1.302151556
472	1.301970608
473	1.301838381
474	1.301683714
475	1.301411567
476	1.301303488
477	1.301134163
478	1.301001583
479	1.300789935
480	1.300705654
481	1.30049937
482	1.300278053
483	1.300088775
484	1.299942127
485	1.29974131
486	1.299666743
487	1.299500207
488	1.299311807
489	1.298991431
490	1.298840578
491	1.298725041
492	1.298524961
493	1.298341573
494	1.298131887
495	1.298037257
496	1.297858459
497	1.297546695
498	1.297293215
499	1.297168591
