ds,yhat,yhat_lower,yhat_upper
2019-12-01,109723.43238316133,71224.06797203874,141980.81448341618
2020-01-01,93017.87806457323,53858.208632176495,126357.06177122124
2020-02-01,86614.48286837302,49112.728853614,121464.25248618194
2020-03-01,94554.80913931831,59738.229627237924,137835.65879046763
2020-04-01,87506.9502745542,62211.332476430056,123907.42554378256
2020-05-01,91974.4424217443,50573.235624102286,121675.6991513764
2020-06-01,118292.04542946015,83289.36051687064,155891.64797572882
2020-07-01,121969.76108739516,82424.46137266903,156343.5751025861
2020-08-01,112188.55662782441,76072.06890333832,149846.73861622004
2020-09-01,72942.06215697216,38725.066793010905,109511.44855714645
2020-10-01,81309.05315882356,45635.65075716982,121109.39364180596
2020-11-01,76809.31143315116,44093.02532018681,111573.14197588357
2020-12-01,110204.97473876829,80099.78575175295,148737.50648774236
2021-01-01,94523.19468570601,55696.9016463593,126751.54327646275
2021-02-01,87948.94149857172,50256.91143574012,120577.84986960582
2021-03-01,95269.9148471958,61179.20882690891,132460.69302357384
2021-04-01,88386.97127107321,49392.574208616454,125050.88866585381
2021-05-01,93162.4946041783,55444.01348512306,130613.05012649005
2021-06-01,119574.24667679849,86048.70619422491,154240.61216990632
2021-07-01,122921.40940139006,92994.26217527114,162494.83674249865
2021-08-01,112853.35403753535,76369.98396661722,145883.79202146555
2021-09-01,73724.95090368952,36071.39919486714,106863.20039497892
2021-10-01,82428.91292650715,49022.454847743145,115914.39890336478
2021-11-01,78186.90776502309,46039.247086271746,113504.72422302172
2021-12-01,111375.70269652085,76221.57392301332,145823.09752731255
2022-01-01,95344.93906359296,59798.21594713769,132548.30589912276
2022-02-01,88824.26045825612,56303.051824777176,127960.48680680321
2022-03-01,96062.96493594193,58575.74850322965,135352.9037163239
2022-04-01,89340.93272072444,53364.64600800748,122554.61771112986
2022-05-01,94410.26125613246,54781.074710121364,125142.94008928117
2022-06-01,120883.36652538556,89017.0304241834,154817.80116701362
2022-07-01,123882.27236472326,90791.58178898947,158695.97145956103
2022-08-01,113524.36909896776,65088.99048627631,152064.5259960054
2022-09-01,74537.21251160713,38938.00418720329,111578.36194953963
2022-10-01,83566.98931319587,51021.30318419845,116503.33940383326
2022-11-01,79574.44598774459,46818.284696408955,115687.10427639277
2022-12-01,112526.40722449686,73298.15093958536,140190.5522924938
2023-01-01,96158.93429986757,64099.71163416453,129180.99798567625
2023-02-01,89700.01134345072,56457.17489868461,117779.41691262844
2023-03-01,96858.80172537378,58467.74689252144,131650.33381705603
2023-04-01,90308.00770402662,58407.16018949336,121470.01275089718
2023-05-01,95667.36712911587,59991.833023021936,135391.85817893356
2023-06-01,122180.47432369195,82403.73038197111,153568.1156862477
2023-07-01,124825.32217002023,93792.35707738702,162884.00299984583
2023-08-01,114186.71717964114,75764.81214822007,150077.4173496756
2023-08-31,74845.4438237607,36836.90309946609,109722.88511777452
2023-09-30,85381.26067912593,49380.097649723386,125336.49056688268
2023-10-31,82570.16560361063,48771.32602637366,118052.6617836689
2023-11-30,113907.43013639435,76836.1595957823,151163.62868471045
2023-12-31,96068.33606827552,64883.857690899174,129297.99618114305
2024-01-31,90041.92617660775,53515.86282031408,122374.8351377863
2024-02-29,97657.7318099391,62491.557518183574,131147.44210892575
2024-03-31,91288.23234718764,59976.01694400047,128562.06709591109
2024-04-30,96933.20116612213,66265.19240677507,139072.50194183347
2024-05-31,123464.95608516519,91400.78871327089,157875.72620517822
2024-06-30,125750.75104536087,90116.68062880439,165813.74847432767
2024-07-31,114841.23280484817,80062.9089611996,149106.047971572
